year,mean,std
1993.5,-34.71932024621838,1.3036734711300895
1994.5,-31.32099485533867,2.2339570526298265
1995.5,-27.27935811833048,2.9236215035574826
1996.5,-24.664078724888224,2.222548842682295
1997.5,-20.387331787762594,2.170451858176064
1998.5,-20.027966380992186,0.47753739864085326
1999.5,-19.001311267697076,0.9690159792289916
2000.5,-14.654270158513027,1.0815121371038023
2001.5,-9.249188350234158,1.489327414598742
2002.5,-7.341431796349766,1.4268234562585234
2003.5,-4.546061346016827,0.9802958822052504
2004.5,-2.5331021080903766,1.2589961251160624
2005.5,1.6525818965643655,1.920378720319136
2006.5,3.717180476092166,1.6806710479101412
2007.5,4.324483741857933,2.2179350051168236
2008.5,7.529591561178916,1.8594653545412743
2009.5,11.905233598475116,2.259366238082804
2010.5,13.384799687803882,2.3893127707282886
2011.5,12.382502159727856,2.841308009672429
2012.5,22.975801240225866,2.9046558217021508
2013.5,25.429068897783093,3.0316031198892768
2014.5,28.573424457573648,3.0948864614253218
2015.5,38.177759958074155,3.7120345220488975
2016.5,41.10707098243184,3.629221988283546
2017.5,41.97554191885846,3.8130110924711214
2018.5,45.329685453569645,4.242339359743296
2019.5,52.19814770582189,4.431164584734846
2020.5,54.2095469025186,4.391978982459645
2021.5,58.682045558368316,4.6813004676897245
2022.5,61.30407302920497,4.764680423243393
2023.5,67.82944491302912,4.841157996223562
2024.5,71.57633049861468,4.8435495217316715
