year,mean,std
1901.5,-156.30335979414448,38.401686981406705
1902.5,-157.8716792463579,47.734386900311954
1903.5,-151.71430101179837,49.357044267165186
1904.5,-153.9539361158885,47.09305675220269
1905.5,-152.5049442816797,47.851508911811045
1906.5,-155.05177904163645,46.669934671686946
1907.5,-152.67587554085108,47.063854200973054
1908.5,-157.9041932035102,48.08063685723533
1909.5,-154.7364518313021,47.078781670042204
1910.5,-153.92662581074123,46.933910464457
1911.5,-145.03676835758367,46.33612854048245
1912.5,-143.2329816246336,46.86248016860743
1913.5,-139.74376805433744,46.66555631605794
1914.5,-136.56622680206215,47.295123244318205
1915.5,-132.15746776490928,46.17506864352967
1916.5,-141.81656488228637,46.2471234343934
1917.5,-139.78029478785183,46.74100562662263
1918.5,-138.04931423450293,45.9872236921259
1919.5,-135.01620270535892,46.15903415316212
1920.5,-131.7765758798611,46.02427477224408
1921.5,-131.18879136420836,45.720591560815784
1922.5,-131.28440777947495,45.95549775344253
1923.5,-135.5327104666974,45.31318161906879
1924.5,-136.11352636988522,46.1488020083157
1925.5,-136.54118970580274,45.75503178038714
1926.5,-134.54409141536414,45.08032217323008
1927.5,-132.38948604923362,45.07400087250308
1928.5,-133.88751924930668,45.460880582625684
1929.5,-132.85426656036705,45.54986276229129
1930.5,-129.42145572375952,45.21985296309381
1931.5,-129.52005214444023,45.33232730967397
1932.5,-122.37267476810707,45.24405829376081
1933.5,-122.54617623335861,44.7599203178102
1934.5,-128.0406127846978,45.858118179852234
1935.5,-120.9335652435658,45.17420286109614
1936.5,-123.63448789685167,45.69684953514492
1937.5,-118.11074142771729,45.265393791470494
1938.5,-113.40048774278957,45.28357540360818
1939.5,-109.26573664062,44.881559775854505
1940.5,-113.92505324498165,46.60167760835664
1941.5,-103.957632660496,45.08098711779803
1942.5,-103.3622325678301,44.82301299310304
1943.5,-100.87942888784268,45.13492563354596
1944.5,-105.08516157180355,45.919484912935076
1945.5,-103.632354486269,45.72507798865172
1946.5,-95.01797059717637,45.057755782284
1947.5,-96.16677034565807,44.54309468361717
1948.5,-91.58029260724832,44.15337288747187
1949.5,-87.28471827224212,45.03047596261002
1950.5,-87.51504458161752,44.86934135241609
1951.5,-80.41651429572372,43.95037483176068
1952.5,-80.41494272843538,44.292974236001555
1953.5,-76.97374008492166,44.15005622701409
1954.5,-81.04049794817566,44.22719543344967
1955.5,-79.65047996445043,44.09141747485503
1956.5,-85.29954674882363,44.385401904283036
1957.5,-74.56160415678416,42.9883336038904
1958.5,-74.74817426346608,42.639212350430334
1959.5,-73.52433454475852,42.63879846261615
1960.5,-70.36446457428066,42.53636340551715
1961.5,-68.64660258222823,42.06183363654424
1962.5,-70.96787234889803,42.258081520006506
1963.5,-71.20824852428962,43.09293510907774
1964.5,-75.33125204771589,43.427087473614925
1965.5,-68.38794381435757,42.98147603217421
1966.5,-72.16109252372533,42.22845186455666
1967.5,-72.36956152540142,42.09499068971537
1968.5,-72.09580698396475,41.919431829254904
1969.5,-68.83779024267643,41.63207738229115
1970.5,-69.98759225534813,41.62593826453926
1971.5,-64.07604467697125,41.571442992702984
1972.5,-62.29880611847301,41.154447344034146
1973.5,-65.82347949270446,41.21856200553097
1974.5,-59.590213957017376,41.296898111987005
1975.5,-56.940293784748405,41.14824766798088
1976.5,-59.781966527287715,41.058179522718056
1977.5,-58.26482911112921,41.32536165416014
1978.5,-57.098502809017596,40.97524545344176
1979.5,-55.026426112976026,41.18748721153955
1980.5,-52.85473550632262,40.95505071738864
1981.5,-43.13334762070707,41.328938845050146
1982.5,-46.95307902990724,41.133550693069836
1983.5,-43.11057184409696,40.97988711365056
1984.5,-42.29237491506996,41.01291509679056
1985.5,-47.142494588303265,41.03756700283337
1986.5,-44.01989092044605,41.33520202333854
1987.5,-44.111916009430296,42.56380994169752
1988.5,-43.76951104777145,41.34258362533585
1989.5,-39.77698512137642,41.06649143824458
1990.5,-36.24227251046023,41.09032759182459
1991.5,-36.59121567861434,41.21996162816259
1992.5,-36.15227266237529,41.16432931594303
1993.5,-35.62011548133763,38.7021289588139
1994.5,-33.04722573042694,38.63923876672357
1995.5,-29.909507533903202,38.58799595023654
1996.5,-27.174400982529228,38.55239044520621
1997.5,-23.821528273720965,38.52881626229784
1998.5,-22.49940342637283,38.51944309487846
1999.5,-21.429367287502693,38.49350695432867
2000.5,-18.269573744288188,38.48637302791576
2001.5,-13.326045409394688,38.48100058236084
2002.5,-10.121359626096712,38.4707894782851
2003.5,-7.2488372202759095,38.46817413594143
2004.5,-4.948666545756517,38.466441715906726
2005.5,-0.7493498096246825,38.46549276361547
2006.5,1.2625289823207524,38.46460833648954
2007.5,1.6266129710694983,38.46443986181736
2008.5,5.543666537908443,38.461645793296704
2009.5,9.832720723640868,38.45779560014706
2010.5,11.477790165142345,38.45991440465882
2011.5,10.700627135161987,38.462060361687335
2012.5,21.190293317367995,38.46518547379252
2013.5,23.810382695256656,38.46813530328193
2014.5,26.972728945330026,38.4734659121406
2015.5,36.76763761810991,38.47923897581551
2016.5,40.2139550528297,38.483436406202436
2017.5,41.65345355296511,38.492075900773415
2018.5,45.550746123830656,38.496392432896
2019.5,52.29270647420906,38.496392432896
2020.5,54.30410567090578,38.496392432896
2021.5,58.77660432675549,38.496392432896
2022.5,61.39863179759214,38.496392432896
2023.5,67.92400368141631,38.496392432896
2024.5,71.67088926700185,38.496392432896
